idParcelle;surface [m2];zone_pedo;matIrr
380_001;3550.1353087255698;dekk_cb_avec_arbr;null
381_001;14420.108800578619;dekk_cb_sans_arbr;null
382_001;1093.24153467752;dior_cb_avec_arbr;null
383_001;4534.77330199411;dior_cb_sans_arbr;null
384_001;1641.3150569964598;dior_cb_avec_arbr;null
385_001;3699.01533435473;dior_cb_sans_arbr;null
386_001;771.86030123246;dior_cb_avec_arbr;null
387_001;2999.17381748587;dior_cb_sans_arbr;null
388_001;3645.6563584544897;dior_cb_sans_arbr;null
389_001;123.74134952017;dior_cb_avec_arbr;null
390_001;1166.46000228555;dior_cb_sans_arbr;null
391_001;1936.36858972392;dekkMbel_cb_sans_arbr;null
392_001;60.08361178495;dior_cc_avec_arbr;null
393_001;1850.72320386671;dior_cc_sans_arbr;null
394_001;4597.95159113318;dior_cb_sans_arbr;null
395_001;1830.38288295578;dekk_cb_avec_arbr;null
396_001;3175.6467420148797;dekk_cb_sans_arbr;null
397_001;3723.3053588594103;dior_cb_sans_arbr;null
398_001;2267.06734397618;dekk_cb_avec_arbr;null
399_001;4959.7130412659;dekk_cb_sans_arbr;null
400_001;1141.24669894719;dior_cb_avec_arbr;null
401_001;7139.18283070896;dior_cb_sans_arbr;null
402_001;837.7901086058;dior_cb_avec_arbr;null
403_001;1362.36189308672;dior_cb_sans_arbr;null
404_001;341.67602950442;dior_cc_avec_arbr;null
405_001;1151.10168992063;dior_cc_sans_arbr;null
406_001;1066.60639836788;dior_cc_avec_arbr;null
407_001;4433.03060611404;dior_cc_sans_arbr;null
408_001;438.54607274167;dior_cb_sans_arbr;null
409_001;29.98988989346;dior_cb_avec_arbr;null
410_001;2616.73087559956;dior_cb_sans_arbr;null
411_001;695.09922784727;dior_cb_sans_arbr;null
412_001;3227.01953359211;dekk_cb_sans_arbr;null
413_001;573.0532042807699;dior_cc_sans_arbr;null
414_001;1191.6896744896098;dior_cc_avec_arbr;null
415_001;7808.22984374112;dior_cc_sans_arbr;null
416_001;709.50237609414;dekk_cb_avec_arbr;null
417_001;3021.8596319993803;dekk_cb_sans_arbr;null
418_001;118.92892509085999;dekk_cb_avec_arbr;null
419_001;4110.15859353049;dekk_cb_sans_arbr;null
420_001;72.43233964563;dior_cb_avec_arbr;null
421_001;3155.3230847655;dior_cb_sans_arbr;null
422_001;421.60232197240003;dior_cb_sans_arbr;null
423_001;3852.3574561623095;dior_cc_avec_arbr;null
424_001;4569.6259241583;dior_cc_sans_arbr;null
425_001;2588.85980419639;dior_cb_avec_arbr;null
426_001;2738.88464092367;dior_cb_sans_arbr;null
427_001;1017.54375479161;dior_cb_sans_arbr;null
428_001;8100.2284915388;dior_cb_sans_arbr;null
429_001;906.462513767;dior_cc_avec_arbr;null
430_001;2483.44010901134;dior_cc_sans_arbr;null
431_001;1553.53875106652;dekk_cb_avec_arbr;null
432_001;12174.00337722558;dekk_cb_sans_arbr;null
433_001;2210.32642650194;dekk_cb_avec_arbr;null
434_001;4216.892181962729;dekk_cb_sans_arbr;null
435_001;1404.77672907448;dekk_cb_avec_arbr;null
436_001;6917.40914586422;dekk_cb_sans_arbr;null
437_001;1346.44582497475;dior_cb_avec_arbr;null
438_001;2552.21236760308;dior_cb_sans_arbr;null
439_001;864.92351764209;dior_cc_avec_arbr;null
440_001;2399.56020598805;dior_cc_sans_arbr;null
441_001;898.12186321961;dior_cc_avec_arbr;null
442_001;2912.77464924294;dior_cc_sans_arbr;null
443_001;1551.46367815848;dior_cc_avec_arbr;null
444_001;1219.18540661853;dior_cc_sans_arbr;null
445_001;2472.10172147924;dior_cc_sans_arbr;null
446_001;935.7767015464399;dior_cc_avec_arbr;null
447_001;653.25309149143;dior_cc_sans_arbr;null
448_001;144.63883309209;dekk_cb_avec_arbr;null
449_001;7376.42868207225;dekk_cb_sans_arbr;null
450_001;761.82368067495;dekk_cb_avec_arbr;null
451_001;5744.82050851778;dekk_cb_sans_arbr;null
452_001;4029.65399721336;dekk_cb_sans_arbr;null
453_001;7569.87504874381;dior_cb_sans_arbr;null
454_001;764.43813190258;dior_cb_avec_arbr;null
455_001;4188.3304870150105;dior_cb_sans_arbr;null
456_001;4342.25025366478;dior_cb_avec_arbr;null
457_001;13066.89066066673;dior_cb_sans_arbr;null
458_001;1442.0779375853801;dior_cb_avec_arbr;null
459_001;6760.47828108159;dior_cb_sans_arbr;null
460_001;0.99367685291;dior_cc_avec_arbr;null
461_001;934.83785118428;dior_cc_sans_arbr;null
462_001;1691.7523445371098;dior_cc_avec_arbr;null
463_001;769.8110075103699;dior_cc_sans_arbr;null
464_001;1021.33320075031;dior_cc_sans_arbr;null
465_001;44.81201213895999;dior_cb_avec_arbr;null
466_001;2361.28894545278;dior_cb_sans_arbr;null
467_001;601.0386565914;dior_cb_avec_arbr;null
468_001;1883.63538014085;dior_cb_sans_arbr;null
469_001;3438.3191685214897;dekk_cb_avec_arbr;null
470_001;5158.23605539004;dekk_cb_sans_arbr;null
471_001;1957.5449612313;dior_cb_avec_arbr;null
472_001;1918.29845690951;dior_cb_sans_arbr;null
473_001;2767.1074738282296;dior_cb_sans_arbr;null
474_001;585.9428753054;dior_cc_sans_arbr;null
475_001;150.75469114037;dior_cc_avec_arbr;null
476_001;1374.07889116908;dior_cc_sans_arbr;null
477_001;834.0301740603801;dior_cb_avec_arbr;null
478_001;2812.7775015032703;dior_cb_sans_arbr;null
479_001;1981.92783558162;dior_cb_avec_arbr;null
480_001;3878.92506677619;dior_cb_sans_arbr;null
481_001;2222.82068617985;dior_cb_avec_arbr;null
482_001;5293.54810104664;dior_cb_sans_arbr;null
483_001;991.30745617792;dekk_cb_avec_arbr;null
484_001;3942.44693338745;dekk_cb_sans_arbr;null
485_001;3517.2468102316902;dekk_cb_avec_arbr;null
486_001;10940.70861818469;dekk_cb_sans_arbr;null
487_001;1071.41479338033;dior_cb_avec_arbr;null
488_001;6367.44581100282;dior_cb_sans_arbr;null
489_001;5947.45707565128;dior_cb_sans_arbr;null
490_001;677.89468766612;dior_cb_sans_arbr;null
491_001;7355.22327580455;dior_cb_sans_arbr;null
492_001;784.99658967025;dior_cb_avec_arbr;null
493_001;6803.15828199987;dior_cb_sans_arbr;null
494_001;5980.4758210881;dior_cb_sans_arbr;null
495_001;5819.800499351701;dekk_cb_sans_arbr;null
496_001;3745.52963262697;dekk_cb_sans_arbr;null
497_001;725.91571057605;dekk_cb_avec_arbr;null
498_001;1202.6697207526001;dekk_cb_sans_arbr;null
499_001;220.25822384044;dekk_cb_avec_arbr;null
500_001;4793.57986978356;dekk_cb_sans_arbr;null
501_001;3640.7294839070296;dior_cc_avec_arbr;null
502_001;5174.5353158218795;dior_cc_sans_arbr;null
503_001;1757.40780604778;dior_cb_avec_arbr;null
504_001;2640.93826352571;dior_cb_sans_arbr;null
505_001;1579.5191709370602;dior_cb_sans_arbr;null
506_001;84.31747719840999;dior_cb_avec_arbr;null
507_001;6243.46450230707;dior_cb_sans_arbr;null
508_001;1704.3270528673602;dior_cb_avec_arbr;null
509_001;4199.5077766805;dior_cb_sans_arbr;null
510_001;151.65390820859;dior_cb_avec_arbr;null
511_001;3028.05639801071;dior_cb_sans_arbr;null
512_001;1812.92502753401;dior_cb_avec_arbr;null
513_001;5158.171801999029;dior_cb_sans_arbr;null
514_001;178.09709321056002;dior_cb_avec_arbr;null
515_001;3588.2662758678703;dior_cb_sans_arbr;null
516_001;5638.98758165661;dior_cc_avec_arbr;null
517_001;3569.3918387359604;dior_cc_sans_arbr;null
518_001;906.462513767;dekk_cb_avec_arbr;null
